iter	Passed	Remaining
688	10861	4902
689	10873	4885
690	10889	4869
691	10902	4852
692	10916	4836
693	10931	4819
694	10946	4803
695	10962	4788
696	10977	4772
697	10992	4756
698	11009	4740
699	11022	4723
700	11035	4707
701	11051	4691
702	11064	4674
703	11079	4658
704	11093	4641
705	11108	4626
706	11121	4609
707	11136	4593
708	11149	4576
709	11163	4559
710	11177	4543
711	11191	4527
712	11206	4510
713	11218	4493
714	11233	4477
715	11247	4461
716	11263	4445
717	11276	4428
718	11291	4412
719	11304	4396
720	11317	4379
721	11331	4363
722	11345	4346
723	11364	4332
724	11380	4316
725	11397	4301
726	11415	4286
727	11431	4271
728	11451	4257
729	11467	4241
730	11483	4225
731	11502	4211
732	11522	4197
733	11545	4183
734	11557	4167
735	11572	4151
736	11586	4134
737	11601	4118
738	11614	4101
739	11630	4086
740	11646	4070
741	11659	4054
742	11673	4037
743	11686	4021
744	11701	4005
745	11714	3988
746	11729	3972
747	11742	3956
748	11759	3940
749	11772	3924
750	11788	3908
751	11801	3891
752	11816	3876
753	11829	3859
754	11847	3844
755	11860	3827
756	11876	3812
757	11890	3796
758	11905	3780
759	11918	3763
760	11933	3747
761	11949	3732
762	11965	3716
763	11979	3700
764	11993	3684
765	12010	3669
766	12025	3653
767	12040	3637
768	12055	3621
769	12071	3605
770	12084	3589
771	12100	3573
772	12113	3557
773	12129	3541
774	12140	3524
775	12155	3508
776	12169	3492
777	12184	3476
778	12197	3460
779	12211	3444
780	12224	3427
781	12237	3411
782	12250	3395
783	12262	3378
784	12278	3362
785	12291	3346
786	12306	3330
787	12319	3314
788	12335	3298
789	12348	3282
790	12362	3266
791	12376	3250
792	12391	3234
793	12405	3218
794	12417	3202
795	12433	3186
796	12445	3169
797	12461	3154
798	12475	3138
799	12491	3122
800	12504	3106
801	12522	3091
802	12538	3076
803	12558	3061
804	12575	3046
805	12594	3031
806	12613	3016
807	12631	3001
808	12652	2987
809	12670	2972
810	12689	2957
811	12707	2942
812	12729	2928
813	12744	2912
814	12759	2896
815	12778	2881
816	12793	2865
817	12807	2849
818	12822	2833
819	12837	2817
820	12850	2801
821	12868	2786
822	12880	2770
823	12896	2754
824	12909	2738
825	12925	2722
826	12937	2706
827	12952	2690
828	12967	2674
829	12983	2659
830	12995	2642
831	13011	2627
832	13026	2611
833	13041	2595
834	13056	2579
835	13070	2564
836	13085	2548
837	13098	2532
838	13113	2516
839	13126	2500
840	13142	2484
841	13155	2468
842	13171	2452
843	13184	2437
844	13198	2420
845	13212	2405
846	13225	2388
847	13240	2373
848	13255	2357
849	13270	2341
850	13282	2325
851	13297	2309
852	13311	2294
853	13327	2278
854	13340	2262
855	13355	2246
856	13368	2230
857	13383	2214
858	13397	2199
859	13407	2182
860	13423	2167
861	13436	2151
862	13452	2135
863	13465	2119
864	13480	2103
865	13493	2087
866	13507	2072
867	13523	2056
868	13538	2040
869	13553	2025
870	13566	2009
871	13583	1993
872	13596	1977
873	13613	1962
874	13627	1946
875	13643	1931
876	13656	1915
877	13674	1900
878	13686	1883
879	13700	1868
880	13714	1852
881	13732	1837
882	13750	1821
883	13770	1807
884	13789	1791
885	13807	1776
886	13823	1761
887	13840	1745
888	13858	1730
889	13877	1715
890	13893	1699
891	13915	1684
892	13928	1668
893	13943	1653
894	13956	1637
895	13971	1621
896	13986	1606
897	13998	1590
898	14014	1574
899	14028	1558
900	14045	1543
901	14058	1527
902	14070	1511
903	14083	1495
904	14098	1479
905	14111	1464
906	14125	1448
907	14139	1432
908	14153	1416
909	14168	1401
910	14180	1385
911	14193	1369
912	14208	1353
913	14223	1338
914	14236	1322
915	14250	1306
916	14264	1291
917	14278	1275
918	14292	1259
919	14304	1243
920	14319	1228
921	14332	1212
922	14347	1196
923	14359	1181
924	14373	1165
925	14385	1149
926	14399	1133
927	14413	1118
928	14425	1102
929	14440	1086
930	14454	1071
931	14469	1055
932	14483	1040
933	14498	1024
934	14512	1008
935	14528	993
936	14543	977
937	14556	962
938	14569	946
939	14582	930
940	14602	915
941	14615	899
